year,month,fare_group,fare_type,count,pct
2025,7,Discounted Fare,Discount Cash,20278,0.16775869486084913
2025,7,Discounted Fare,Discount Mobile,2089,0.017282173467024056
2025,7,Discounted Fare,Discount Smart Card,16811,0.13907640888182932
2025,7,Discounted Fare,Discount Smart Card Daily Fare Cap,6049,0.050043019292498096
2025,7,Discounted Fare,Discount Smart Card Monthly Fare Cap,4847,0.040098944372745624
2025,7,Discounted Fare,Free Ride,12230,0.10117806677917866
2025,7,Regular Fare,Regular Cash,7447,0.06160859062179423
2025,7,Regular Fare,Regular Credit Card,10392,0.0859724014692743
2025,7,Regular Fare,Regular Mobile,8510,0.07040272676130911
2025,7,Regular Fare,Regular Smart Card,3191,0.02639895430027466
2025,7,Regular Fare,Regular Smart Card Daily Fare Cap,887,0.007338098547271584
2025,7,Regular Fare,Regular Smart Card Monthly Fare Cap,914,0.007561467950627089
2025,7,Sponsored Fare,Burlington School District,52,4.301929249809722e-4
2025,7,Sponsored Fare,Champlain College,1641,0.013575895959495682
2025,7,Sponsored Fare,Employer Program,404,0.0033422681094675533
2025,7,Sponsored Fare,Essex Westford School District,232,0.0019193222806843378
2025,7,Sponsored Fare,South Burlington School District,568,0.00469903041133062
2025,7,Sponsored Fare,St. Michael's College,1283,0.010614183129818988
2025,7,Sponsored Fare,UVM,19389,0.16040405043184752
2025,8,Discounted Fare,Discount Cash,19475,0.13373666066940434
2025,8,Discounted Fare,Discount Mobile,1762,0.012099820082130447
2025,8,Discounted Fare,Discount Smart Card,17778,0.12208320171402673
2025,8,Discounted Fare,Discount Smart Card Daily Fare Cap,4028,0.02766065567015973
2025,8,Discounted Fare,Discount Smart Card Monthly Fare Cap,4513,0.030991196385161582
2025,8,Discounted Fare,Free Ride,10962,0.07527708725329964
2025,8,Regular Fare,Regular Cash,7284,0.05001991457334743
2025,8,Regular Fare,Regular Credit Card,10186,0.06994822210929667
2025,8,Regular Fare,Regular Mobile,8444,0.05798574391232094
2025,8,Regular Fare,Regular Smart Card,3236,0.02222191701803299
2025,8,Regular Fare,Regular Smart Card Daily Fare Cap,552,0.0037906360302701514
2025,8,Regular Fare,Regular Smart Card Monthly Fare Cap,810,0.005562346348765983
