month,cs_interactions,total_vrh,interactions_per_1000_vrh
2026-04-01,21,7794.763333333333,2.694116434580652
2025-08-01,28,7128.0999999999995,3.928115486595306
2025-12-01,46,7766.766666666666,5.9226705235554915
2026-02-01,32,7139.966666666667,4.481813640586557
2026-01-01,18,7657.4,2.3506673283359887
2025-07-01,4,7011.833333333334,0.5704642152551639
2026-06-01,58,7688.616666666667,7.543619680176538
2026-03-01,38,7856.13,4.836987167982199
2026-05-01,41,7456.216666666666,5.498767247911698
2025-11-01,83,7064.433333333333,11.74899614500809
2025-10-01,77,8097.833333333334,9.508716323296353
2025-09-01,74,7497.533333333334,9.869912771311453
