route,month,stat,value,service_days
56,February,Total Ridership,736,20
56,February,Total Vehicle Hours,204.33333333333334,20
56,February,Weekday Vehicle Hours,204.33333333333334,20
Urban 86,February,Weekday Ridership,2340,20
Urban 86,February,Total Ridership,2340,20
Urban 86,February,Total Vehicle Hours,271,20
Urban 86,February,Weekday Vehicle Hours,271,20
Rural 86,February,Weekday Ridership,1571,20
Rural 86,February,Total Ridership,1571,20
Rural 86,February,Total Vehicle Hours,261.6666666666667,20
Rural 86,February,Weekday Vehicle Hours,261.6666666666667,20
96,February,Weekday Ridership,779,20
96,February,Total Ridership,779,20
96,February,Total Vehicle Hours,173.33333333333337,20
96,February,Weekday Vehicle Hours,173.33333333333337,20
1,March,Weekday Ridership,30253,21
1,March,Saturday Ridership,6637,5
1,March,Sunday Ridership,4543,5
1,March,Total Ridership,41433,31
1,March,Total Vehicle Hours,1814.2,31
1,March,Weekday Vehicle Hours,1470.7,21
1,March,Saturday Vehicle Hours,229.33333333333337,5
1,March,Sunday Vehicle Hours,114.16666666666666,5
2,March,Weekday Ridership,37573,21
2,March,Saturday Ridership,3584,5
2,March,Sunday Ridership,2199,5
2,March,Total Ridership,43356,31
2,March,Total Vehicle Hours,1789.4,31
2,March,Weekday Vehicle Hours,1490.65,21
2,March,Saturday Vehicle Hours,195.83333333333331,5
2,March,Sunday Vehicle Hours,102.91666666666666,5
5,March,Weekday Ridership,4510,21
5,March,Saturday Ridership,342,5
5,March,Sunday Ridership,178,5
5,March,Total Ridership,5030,31
5,March,Total Vehicle Hours,524.7333333333333,31
5,March,Weekday Vehicle Hours,447.65,21
5,March,Saturday Vehicle Hours,41.66666666666667,5
5,March,Sunday Vehicle Hours,35.416666666666664,5
6,March,Weekday Ridership,16307,21
6,March,Saturday Ridership,2551,5
6,March,Sunday Ridership,361,5
6,March,Total Ridership,19219,31
6,March,Total Vehicle Hours,1143.5333333333333,31
6,March,Weekday Vehicle Hours,968.45,21
6,March,Saturday Vehicle Hours,138,5
6,March,Sunday Vehicle Hours,37.083333333333336,5
7,March,Weekday Ridership,19717,21
7,March,Saturday Ridership,1863,5
7,March,Sunday Ridership,796,5
7,March,Total Ridership,22376,31
7,March,Total Vehicle Hours,1003.1833333333334,31
7,March,Weekday Vehicle Hours,845.6000000000001,21
7,March,Saturday Vehicle Hours,112.16666666666667,5
7,March,Sunday Vehicle Hours,45.41666666666667,5
8,March,Weekday Ridership,4839,21
8,March,Saturday Ridership,333,5
8,March,Sunday Ridership,217,5
8,March,Total Ridership,5389,31
8,March,Total Vehicle Hours,407.2833333333333,31
8,March,Weekday Vehicle Hours,327.95,21
8,March,Saturday Vehicle Hours,44.08333333333332,5
8,March,Sunday Vehicle Hours,35.25,5
9,March,Weekday Ridership,11427,21
9,March,Saturday Ridership,964,5
9,March,Total Ridership,12391,26
9,March,Total Vehicle Hours,700.25,26
9,March,Weekday Vehicle Hours,645.75,21
9,March,Saturday Vehicle Hours,54.5,5
10,March,Weekday Ridership,1448,21
10,March,Total Ridership,1448,21
10,March,Total Vehicle Hours,283.5,21
10,March,Weekday Vehicle Hours,283.5,21
11,March,Weekday Ridership,10361,21
11,March,Saturday Ridership,1924,5
11,March,Sunday Ridership,770,5
11,March,Total Ridership,13055,31
11,March,Total Vehicle Hours,826.1333333333333,31
11,March,Weekday Vehicle Hours,664.3,21
11,March,Saturday Vehicle Hours,114.83333333333334,5
11,March,Sunday Vehicle Hours,47,5
21,March,Weekday Ridership,6549,21
21,March,Total Ridership,6549,21
21,March,Total Vehicle Hours,198.00000000000003,21
21,March,Weekday Vehicle Hours,198.00000000000003,21
56,March,Weekday Ridership,858,21
56,March,Total Ridership,858,21
56,March,Total Vehicle Hours,198.45,21
56,March,Weekday Vehicle Hours,198.45,21
Urban 86,March,Weekday Ridership,2412,21
Urban 86,March,Total Ridership,2412,21
Urban 86,March,Total Vehicle Hours,168,21
Urban 86,March,Weekday Vehicle Hours,168,21
Rural 86,March,Weekday Ridership,1586,21
Rural 86,March,Total Ridership,1586,21
Rural 86,March,Total Vehicle Hours,215.60000000000002,21
Rural 86,March,Weekday Vehicle Hours,215.60000000000002,21
96,March,Weekday Ridership,843,21
96,March,Total Ridership,843,21
96,March,Total Vehicle Hours,187.25000000000003,21
96,March,Weekday Vehicle Hours,187.25000000000003,21
1,April,Weekday Ridership,34303,22
1,April,Saturday Ridership,6344,4
1,April,Sunday Ridership,3666,4
1,April,Total Ridership,44313,30
1,April,Total Vehicle Hours,1815.5333333333333,30
1,April,Weekday Vehicle Hours,1540.7333333333333,22
1,April,Saturday Vehicle Hours,183.4666666666667,4
1,April,Sunday Vehicle Hours,91.33333333333333,4
2,April,Weekday Ridership,43864,22
2,April,Saturday Ridership,3310,4
2,April,Sunday Ridership,1925,4
2,April,Total Ridership,49099,30
2,April,Total Vehicle Hours,1800.6333333333334,30
2,April,Weekday Vehicle Hours,1561.6333333333334,22
2,April,Saturday Vehicle Hours,156.66666666666666,4
2,April,Sunday Vehicle Hours,82.33333333333333,4
5,April,Weekday Ridership,5651,22
5,April,Saturday Ridership,365,4
5,April,Sunday Ridership,196,4
5,April,Total Ridership,6212,30
5,April,Total Vehicle Hours,530.6333333333333,30
5,April,Weekday Vehicle Hours,468.96666666666664,22
5,April,Saturday Vehicle Hours,33.333333333333336,4
5,April,Sunday Vehicle Hours,28.333333333333332,4
6,April,Weekday Ridership,17566,22
6,April,Saturday Ridership,1989,4
6,April,Sunday Ridership,279,4
6,April,Total Ridership,19834,30
6,April,Total Vehicle Hours,1154.6333333333334,30
6,April,Weekday Vehicle Hours,1014.5666666666667,22
6,April,Saturday Vehicle Hours,110.39999999999999,4
6,April,Sunday Vehicle Hours,29.666666666666668,4
7,April,Weekday Ridership,22272,22
7,April,Saturday Ridership,1594,4
7,April,Sunday Ridership,701,4
7,April,Total Ridership,24567,30
7,April,Total Vehicle Hours,1011.9333333333335,30
7,April,Weekday Vehicle Hours,885.8666666666668,22
7,April,Saturday Vehicle Hours,89.73333333333333,4
7,April,Sunday Vehicle Hours,36.333333333333336,4
8,April,Weekday Ridership,5647,22
8,April,Saturday Ridership,239,4
8,April,Sunday Ridership,174,4
8,April,Total Ridership,6060,30
8,April,Total Vehicle Hours,407.0333333333333,30
8,April,Weekday Vehicle Hours,343.56666666666666,22
8,April,Saturday Vehicle Hours,35.26666666666666,4
8,April,Sunday Vehicle Hours,28.2,4
9,April,Weekday Ridership,12966,22
9,April,Saturday Ridership,782,4
9,April,Total Ridership,13748,26
9,April,Total Vehicle Hours,720.1,26
9,April,Weekday Vehicle Hours,676.5,22
9,April,Saturday Vehicle Hours,43.6,4
10,April,Weekday Ridership,1390,22
10,April,Total Ridership,1390,22
10,April,Total Vehicle Hours,297,22
10,April,Weekday Vehicle Hours,297,22
11,April,Weekday Ridership,13876,22
11,April,Saturday Ridership,1371,4
11,April,Sunday Ridership,645,4
11,April,Total Ridership,15892,30
11,April,Total Vehicle Hours,832.5999999999999,30
11,April,Weekday Vehicle Hours,695.9333333333333,22
11,April,Saturday Vehicle Hours,91.86666666666667,4
11,April,Sunday Vehicle Hours,44.8,4
21,April,Weekday Ridership,6101,22
21,April,Total Ridership,6101,22
21,April,Total Vehicle Hours,187.00000000000003,22
21,April,Weekday Vehicle Hours,187.00000000000003,22
56,April,Weekday Ridership,982,22
56,April,Total Ridership,982,22
56,April,Total Vehicle Hours,207.89999999999998,22
56,April,Weekday Vehicle Hours,207.89999999999998,22
Urban 86,April,Weekday Ridership,2613,22
Urban 86,April,Total Ridership,2613,22
Urban 86,April,Total Vehicle Hours,176,22
Urban 86,April,Weekday Vehicle Hours,176,22
Rural 86,April,Weekday Ridership,1658,22
Rural 86,April,Total Ridership,1658,22
Rural 86,April,Total Vehicle Hours,225.86666666666667,22
Rural 86,April,Weekday Vehicle Hours,225.86666666666667,22
96,April,Weekday Ridership,902,22
96,April,Total Ridership,902,22
96,April,Total Vehicle Hours,196.16666666666669,22
96,April,Weekday Vehicle Hours,196.16666666666669,22
1,May,Weekday Ridership,25009,21
1,May,Saturday Ridership,3935,5
1,May,Sunday Ridership,1905,4
1,May,Total Ridership,30849,30
1,May,Total Vehicle Hours,1791.3666666666666,30
1,May,Weekday Vehicle Hours,1470.7,21
1,May,Saturday Vehicle Hours,229.33333333333337,5
1,May,Sunday Vehicle Hours,91.33333333333333,4
2,May,Weekday Ridership,27450,21
2,May,Saturday Ridership,2965,5
2,May,Sunday Ridership,1504,4
2,May,Total Ridership,31919,30
2,May,Total Vehicle Hours,1768.8166666666666,30
2,May,Weekday Vehicle Hours,1490.65,21
2,May,Saturday Vehicle Hours,195.83333333333331,5
2,May,Sunday Vehicle Hours,82.33333333333333,4
5,May,Weekday Ridership,5237,21
5,May,Saturday Ridership,378,5
5,May,Sunday Ridership,156,4
5,May,Total Ridership,5771,30
5,May,Total Vehicle Hours,517.65,30
5,May,Weekday Vehicle Hours,447.65,21
5,May,Saturday Vehicle Hours,41.66666666666667,5
5,May,Sunday Vehicle Hours,28.333333333333332,4
6,May,Weekday Ridership,16500,21
6,May,Saturday Ridership,2198,5
6,May,Sunday Ridership,279,4
6,May,Total Ridership,18977,30
6,May,Total Vehicle Hours,1136.1166666666668,30
6,May,Weekday Vehicle Hours,968.45,21
6,May,Saturday Vehicle Hours,138,5
6,May,Sunday Vehicle Hours,29.666666666666668,4
7,May,Weekday Ridership,24263,21
7,May,Saturday Ridership,1898,5
7,May,Sunday Ridership,628,4
7,May,Total Ridership,26789,30
7,May,Total Vehicle Hours,994.1000000000001,30
7,May,Weekday Vehicle Hours,845.6000000000001,21
7,May,Saturday Vehicle Hours,112.16666666666667,5
7,May,Sunday Vehicle Hours,36.333333333333336,4
8,May,Weekday Ridership,3459,21
8,May,Saturday Ridership,180,5
8,May,Sunday Ridership,135,4
8,May,Total Ridership,3774,30
8,May,Total Vehicle Hours,400.2333333333333,30
8,May,Weekday Vehicle Hours,327.95,21
8,May,Saturday Vehicle Hours,44.08333333333332,5
8,May,Sunday Vehicle Hours,28.2,4
9,May,Weekday Ridership,12138,21
9,May,Saturday Ridership,940,5
9,May,Total Ridership,13078,26
9,May,Total Vehicle Hours,700.25,26
9,May,Weekday Vehicle Hours,645.75,21
9,May,Saturday Vehicle Hours,54.5,5
10,May,Weekday Ridership,1472,21
10,May,Total Ridership,1472,21
10,May,Total Vehicle Hours,283.5,21
10,May,Weekday Vehicle Hours,283.5,21
11,May,Weekday Ridership,10082,21
11,May,Saturday Ridership,1113,5
11,May,Sunday Ridership,409,4
11,May,Total Ridership,11604,30
11,May,Total Vehicle Hours,823.9333333333333,30
11,May,Weekday Vehicle Hours,664.3,21
11,May,Saturday Vehicle Hours,114.83333333333334,5
11,May,Sunday Vehicle Hours,44.8,4
21,May,Weekday Ridership,6762,21
21,May,Total Ridership,6762,21
21,May,Total Vehicle Hours,231.00000000000003,21
21,May,Weekday Vehicle Hours,231.00000000000003,21
56,May,Weekday Ridership,858,21
56,May,Total Ridership,858,21
56,May,Total Vehicle Hours,198.45,21
56,May,Weekday Vehicle Hours,198.45,21
Urban 86,May,Weekday Ridership,1706,21
Urban 86,May,Total Ridership,1706,21
Urban 86,May,Total Vehicle Hours,168,21
Urban 86,May,Weekday Vehicle Hours,168,21
Rural 86,May,Weekday Ridership,1518,21
Rural 86,May,Total Ridership,1518,21
Rural 86,May,Total Vehicle Hours,215.60000000000002,21
Rural 86,May,Weekday Vehicle Hours,215.60000000000002,21
96,May,Weekday Ridership,842,21
96,May,Total Ridership,842,21
96,May,Total Vehicle Hours,187.25000000000003,21
96,May,Weekday Vehicle Hours,187.25000000000003,21
1,June,Weekday Ridership,20889,21
1,June,Saturday Ridership,3233,4
1,June,Sunday Ridership,1963,5
1,June,Total Ridership,26085,30
1,June,Total Vehicle Hours,1572.5666666666666,30
1,June,Weekday Vehicle Hours,1275.2666666666664,21
1,June,Saturday Vehicle Hours,182.63333333333335,4
1,June,Sunday Vehicle Hours,114.66666666666666,5
2,June,Weekday Ridership,22338,21
2,June,Saturday Ridership,2377,4
2,June,Sunday Ridership,1561,5
2,June,Total Ridership,26276,30
2,June,Total Vehicle Hours,1489.6833333333334,30
2,June,Weekday Vehicle Hours,1229.7666666666669,21
2,June,Saturday Vehicle Hours,156.83333333333331,4
2,June,Sunday Vehicle Hours,103.08333333333334,5
4,June,Weekday Ridership,206,21
4,June,Total Ridership,206,21
4,June,Total Vehicle Hours,82.86666666666666,21
4,June,Weekday Vehicle Hours,82.86666666666666,21
5,June,Weekday Ridership,4978,21
5,June,Saturday Ridership,265,4
5,June,Sunday Ridership,108,5
5,June,Total Ridership,5351,30
5,June,Total Vehicle Hours,485.15000000000003,30
5,June,Weekday Vehicle Hours,425.4666666666667,21
5,June,Saturday Vehicle Hours,38.43333333333334,4
5,June,Sunday Vehicle Hours,21.25,5
6,June,Weekday Ridership,15855,21
6,June,Saturday Ridership,2035,4
6,June,Sunday Ridership,252,5
6,June,Total Ridership,18142,30
6,June,Total Vehicle Hours,1021.1333333333333,30
6,June,Weekday Vehicle Hours,887.05,21
6,June,Saturday Vehicle Hours,111.83333333333333,4
6,June,Sunday Vehicle Hours,22.25,5
7,June,Weekday Ridership,16524,21
7,June,Saturday Ridership,1708,4
7,June,Sunday Ridership,563,5
7,June,Total Ridership,18795,30
7,June,Total Vehicle Hours,844.9000000000001,30
7,June,Weekday Vehicle Hours,729.1833333333334,21
7,June,Saturday Vehicle Hours,88.46666666666667,4
7,June,Sunday Vehicle Hours,27.25,5
8,June,Weekday Ridership,2084,21
8,June,Saturday Ridership,141,4
8,June,Sunday Ridership,115,5
8,June,Total Ridership,2340,30
8,June,Total Vehicle Hours,303.95,30
8,June,Weekday Vehicle Hours,243.43333333333334,21
8,June,Saturday Vehicle Hours,39.36666666666666,4
8,June,Sunday Vehicle Hours,21.15,5
9,June,Weekday Ridership,9540,21
9,June,Saturday Ridership,621,4
9,June,Total Ridership,10161,25
9,June,Total Vehicle Hours,663.6666666666666,25
9,June,Weekday Vehicle Hours,621.3666666666667,21
9,June,Saturday Vehicle Hours,42.3,4
10,June,Weekday Ridership,730,21
10,June,Total Ridership,730,21
10,June,Total Vehicle Hours,135,21
10,June,Weekday Vehicle Hours,135,21
11,June,Weekday Ridership,9968,21
11,June,Saturday Ridership,1027,4
11,June,Sunday Ridership,309,5
11,June,Total Ridership,11304,30
11,June,Total Vehicle Hours,768.6,30
11,June,Weekday Vehicle Hours,643.4,21
11,June,Saturday Vehicle Hours,91.6,4
11,June,Sunday Vehicle Hours,33.599999999999994,5
21,June,Weekday Ridership,2621,21
21,June,Total Ridership,2621,21
21,June,Total Vehicle Hours,99.00000000000001,21
21,June,Weekday Vehicle Hours,99.00000000000001,21
56,June,Weekday Ridership,722,21
56,June,Total Ridership,722,21
56,June,Total Vehicle Hours,201.56666666666666,21
56,June,Weekday Vehicle Hours,201.56666666666666,21
Urban 86,June,Weekday Ridership,1568,21
Urban 86,June,Total Ridership,1568,21
Urban 86,June,Total Vehicle Hours,160.11666666666667,21
Urban 86,June,Weekday Vehicle Hours,160.11666666666667,21
Rural 86,June,Weekday Ridership,1398,21
Rural 86,June,Total Ridership,1398,21
Rural 86,June,Total Vehicle Hours,215.60000000000002,21
Rural 86,June,Weekday Vehicle Hours,215.60000000000002,21
96,June,Weekday Ridership,803,21
96,June,Total Ridership,803,21
96,June,Total Vehicle Hours,203.75,21
96,June,Weekday Vehicle Hours,203.75,21
778,June,Weekday Ridership,0,NA
778,June,Saturday Ridership,0,NA
778,June,Sunday Ridership,91,5
778,June,Total Ridership,91,5
778,June,Total Vehicle Hours,12,5
778,June,Weekday Vehicle Hours,0,NA
778,June,Saturday Vehicle Hours,0,NA
778,June,Sunday Vehicle Hours,12,5
756,June,Weekday Ridership,0,NA
756,June,Saturday Ridership,0,NA
756,June,Sunday Ridership,186,5
756,June,Total Ridership,186,5
756,June,Total Vehicle Hours,9.333333333333334,5
756,June,Weekday Vehicle Hours,0,NA
756,June,Saturday Vehicle Hours,0,NA
756,June,Sunday Vehicle Hours,9.333333333333334,5
