year,month,fare_group,route,count,pct
2026,7,Discounted Fare,1,10274,0.4105986731676125
2026,7,Discounted Fare,2,8276,0.36414836978043735
2026,7,Discounted Fare,4,219,0.3802083333333333
2026,7,Discounted Fare,5,2358,0.4968394437420986
2026,7,Discounted Fare,6,9503,0.521569703622393
2026,7,Discounted Fare,7,6854,0.5074781578557678
2026,7,Discounted Fare,8,1178,0.6632882882882883
2026,7,Discounted Fare,9,4733,0.40675489859058095
2026,7,Discounted Fare,11,2653,0.33379466532460994
2026,7,Discounted Fare,86,447,0.1560754189944134
2026,7,Discounted Fare,96,440,0.3685092127303183
2026,7,Regular Fare,1,8796,0.3515306530253377
2026,7,Regular Fare,2,6120,0.2692832313987768
2026,7,Regular Fare,4,191,0.3315972222222222
2026,7,Regular Fare,5,1556,0.3278550358196376
2026,7,Regular Fare,6,6206,0.34061470911086716
2026,7,Regular Fare,7,3713,0.2749148526580779
2026,7,Regular Fare,8,314,0.1768018018018018
2026,7,Regular Fare,9,4841,0.4160364386387075
2026,7,Regular Fare,11,2185,0.2749119275289381
2026,7,Regular Fare,86,1387,0.48428770949720673
2026,7,Regular Fare,96,426,0.35678391959798994
2026,7,Sponsored Fare,1,5952,0.2378706738070498
2026,7,Sponsored Fare,2,8331,0.36656839882078585
2026,7,Sponsored Fare,4,166,0.2881944444444444
2026,7,Sponsored Fare,5,832,0.1753055204382638
2026,7,Sponsored Fare,6,2511,0.13781558726673984
2026,7,Sponsored Fare,7,2939,0.2176069894861543
2026,7,Sponsored Fare,8,284,0.15990990990990991
2026,7,Sponsored Fare,9,2062,0.1772086627707116
2026,7,Sponsored Fare,11,3110,0.39129340714645194
2026,7,Sponsored Fare,86,1030,0.35963687150837986
2026,7,Sponsored Fare,96,328,0.2747068676716918
