year,month,route,stop_id,stop_name,total_boardings,latitude,longitude
2025,July,2,805753,Pearl Street at S. Willard Street,292,44.480612,-73.205833
2025,July,2,805754,Pearl Street at S Prospect Street (UHC),256,44.480731,-73.201381
2025,July,2,805755,Colchester Avenue at Mansfield House,228,44.480579,-73.198914
2025,July,2,805756,Colchester Avenue at Fleming Museum,168,44.4805912625953,-73.1968665240963
2025,July,2,805757,UVM Medical Center,3389,44.4786566641105,-73.1939696441803
2025,July,2,805758,Colchester Avenue at Latham Court,43,44.482512,-73.191938
2025,July,2,805759,Colchester Avenue at Thibault Parkway,49,44.483129,-73.190514
2025,July,2,805760,Colchester Avenue at 339,23,44.484018,-73.188415
2025,July,2,805761,Colchester Avenue at Chase Street,26,44.486436,-73.186976
2025,July,2,805762,Colchester Avenue at Barrett Street,48,44.487802,-73.186696
2025,July,2,805763,Winooski Falls/Champlain Mill,625,44.49022,-73.18437
2025,July,2,805765,College Parkway at Opposite Florida Avenue,32,44.493226,-73.170992
2025,July,2,805766,Saint Michael's College,88,44.49297301724816,-73.16772697628687
2025,July,2,805767,College Parkway at Lime Kiln Road,59,44.492695,-73.163626
2025,July,2,805768,College Parkway at Fanny Allen Hospital,205,44.497364,-73.158333
2025,July,2,805769,Ethan Allen Avenue at University Lane,76,44.502994,-73.151287
2025,July,2,805770,Ethan Allen Avenue at Catamount Lane,45,44.503845,-73.150689
2025,July,2,805771,Ethan Allen Avenue at VT Public TV,102,44.50475,-73.149892
2025,July,2,805775,Ethan Allen Avenue at Opposite Green Mt. Nursing,73,44.506784,-73.145364
2025,July,2,805776,Ethan Allen Avenue at Essex Avenue (Bld. #310),54,44.50543,-73.143241
2025,July,2,805777,Pearl Street at West Street Extension,43,44.49952282479167,-73.13062824322117
2025,July,2,805778,Pearl Street at Opposite Complex 159,18,44.497858,-73.127775
2025,July,2,805779,Pearl Street at Opposite Willey's Court,7,44.4968059911076,-73.1254138552707
2025,July,2,805780,Pearl Street at KFC,9,44.496383,-73.124482
2025,July,2,805781,Pearl Street at Capital Lincoln,68,44.495081,-73.121634
2025,July,2,805782,Pearl Street at Roscoe Court (Shopping Center),32,44.494046,-73.119419
2025,July,2,805783,Pearl Street at Merchants Bank,7,44.492685,-73.11657
2025,July,2,805792,Amtrak,1361,44.4924,-73.11022
2025,July,2,805793,Lincoln Street at Brownell Library,511,44.49122,-73.11107
2025,July,2,805794,Pearl Street at Summit Street,80,44.492274,-73.1155
2025,July,2,805795,Pearl Street at Hillcrest Road (Jiffy Lube),152,44.493225,-73.117389
2025,July,2,805796,Pearl Street at Essex Junction Shopping Center.,584,44.494521,-73.120046
2025,July,2,805797,Pearl Street at Gate A Fairgrounds,527,44.4956,-73.122406
2025,July,2,805798,Pearl Street at Willey's Court,204,44.49691,-73.125335
2025,July,2,805799,Pearl Street at Complex 159,106,44.497953,-73.127588
2025,July,2,805800,Pearl Street at West Street (U-Turn),129,44.499922,-73.130796
2025,July,2,805801,Pearl Street at 197 Pearl Inc.,63,44.50076,-73.132168
2025,July,2,805802,Pearl Street at Contois Music,51,44.501798,-73.133839
