year,month,route,stop_id,stop_name,total_boardings,latitude,longitude
2025,October,2,805595,Shelburne Road at Farrell Street,140,44.450421,-73.208905
2025,October,2,805752,Pearl Street at Hungerford Terrace,1691,44.480581,-73.207105
2025,October,2,805753,Pearl Street at S. Willard Street,707,44.480612,-73.205833
2025,October,2,805754,Pearl Street at S Prospect Street (UHC),596,44.480731,-73.201381
2025,October,2,805755,Colchester Avenue at Mansfield House,1103,44.480579,-73.198914
2025,October,2,805756,Colchester Avenue at Fleming Museum,689,44.4805912625953,-73.1968665240963
2025,October,2,805757,UVM Medical Center,5376,44.4786566641105,-73.1939696441803
2025,October,2,805758,Colchester Avenue at Latham Court,193,44.482512,-73.191938
2025,October,2,805759,Colchester Avenue at Thibault Parkway,93,44.483129,-73.190514
2025,October,2,805760,Colchester Avenue at 339,59,44.484018,-73.188415
2025,October,2,805761,Colchester Avenue at Chase Street,50,44.486436,-73.186976
2025,October,2,805762,Colchester Avenue at Barrett Street,60,44.487802,-73.186696
2025,October,2,805763,Winooski Falls/Champlain Mill,524,44.49022,-73.18437
2025,October,2,805765,College Parkway at Opposite Florida Avenue,42,44.493226,-73.170992
2025,October,2,805766,Saint Michael's College,134,44.49297301724816,-73.16772697628687
2025,October,2,805767,College Parkway at Lime Kiln Road,88,44.492695,-73.163626
2025,October,2,805768,College Parkway at Fanny Allen Hospital,159,44.497364,-73.158333
2025,October,2,805769,Ethan Allen Avenue at University Lane,58,44.502994,-73.151287
2025,October,2,805770,Ethan Allen Avenue at Catamount Lane,49,44.503845,-73.150689
2025,October,2,805771,Ethan Allen Avenue at VT Public TV,68,44.50475,-73.149892
2025,October,2,805775,Ethan Allen Avenue at Opposite Green Mt. Nursing,61,44.506784,-73.145364
2025,October,2,805776,Ethan Allen Avenue at Essex Avenue (Bld. #310),44,44.50543,-73.143241
2025,October,2,805777,Pearl Street at West Street Extension,120,44.49952282479167,-73.13062824322117
2025,October,2,805778,Pearl Street at Opposite Complex 159,25,44.497858,-73.127775
2025,October,2,805779,Pearl Street at Opposite Willey's Court,12,44.4968059911076,-73.1254138552707
2025,October,2,805780,Pearl Street at KFC,24,44.496383,-73.124482
2025,October,2,805781,Pearl Street at Capital Lincoln,56,44.495081,-73.121634
2025,October,2,805782,Pearl Street at Roscoe Court (Shopping Center),60,44.494046,-73.119419
2025,October,2,805783,Pearl Street at Merchants Bank,39,44.492685,-73.11657
2025,October,2,805792,Amtrak,2279,44.4924,-73.11022
2025,October,2,805793,Lincoln Street at Brownell Library,571,44.49122,-73.11107
2025,October,2,805794,Pearl Street at Summit Street,180,44.492274,-73.1155
2025,October,2,805795,Pearl Street at Hillcrest Road (Jiffy Lube),121,44.493225,-73.117389
2025,October,2,805796,Pearl Street at Essex Junction Shopping Center.,540,44.494521,-73.120046
2025,October,2,805797,Pearl Street at Gate A Fairgrounds,471,44.4956,-73.122406
2025,October,2,805798,Pearl Street at Willey's Court,162,44.49691,-73.125335
2025,October,2,805799,Pearl Street at Complex 159,55,44.497953,-73.127588
2025,October,2,805800,Pearl Street at West Street (U-Turn),118,44.499922,-73.130796
2025,October,2,805801,Pearl Street at 197 Pearl Inc.,56,44.50076,-73.132168
2025,October,2,805802,Pearl Street at Contois Music,80,44.501798,-73.133839
2025,October,2,805803,Pearl Street at 241 Pearl Apartments,140,44.502877,-73.135618
2025,October,2,805804,Pearl Street at Susie Wilson Road,508,44.504157,-73.139286
2025,October,2,805805,Ethan Allen Avenue at Laurette Drive,194,44.504828,-73.142164
2025,October,2,805806,Ethan Allen Avenue at Green Mtn. Nursing,114,44.506969,-73.145567
2025,October,2,805808,Ethan Allen Avenue at Sloane Hall,136,44.50465687088816,-73.15017664095814
2025,October,2,805809,Ethan Allen Avenue at Catamount Lane,264,44.503856,-73.150807
2025,October,2,805810,Ethan Allen Avenue at Barnes Avenue,418,44.502712,-73.15154
2025,October,2,805811,College Parkway at Cumberland Farms,352,44.497571,-73.158398
2025,October,2,805812,College Parkway at Johnson Avenue,210,44.496917,-73.15976
2025,October,2,805813,College Parkway at Campus Rd. (Saint Mikes East Entrance),166,44.4948981253552,-73.1618200255496
2025,October,2,805814,Saint Michael's College,126,44.49346454402722,-73.16288269076387
2025,October,2,805815,College Parkway at Campus Rd. (Saint Mikes West Entrance),946,44.493114,-73.166998
2025,October,2,805816,College Parkway at Florida Avenue,122,44.493376,-73.171038
2025,October,2,805817,E Allen Street at Dion Street,456,44.4932242751315,-73.1756392046093
2025,October,2,805819,Spinner Place/ Champlain Mill,4001,44.4903075657594,-73.1848931831459
2025,October,2,805820,Colchester Avenue at Barrett Street,1029,44.48766,-73.186825
2025,October,2,805821,Colchester Avenue at Opposite Chase Street,921,44.486574,-73.187045
2025,October,2,805822,Colchester Avenue at Nash Place,306,44.483724,-73.189341
2025,October,2,805823,Colchester Avenue at UVM Trinty Campus,566,44.482849,-73.191372
2025,October,2,805824,Colchester Avenue at Mansfield Avenue,582,44.480697,-73.198467
2025,October,2,805825,Pearl Street at N. Prospect Street,608,44.480722,-73.200124
2025,October,2,805826,Pearl Street at N. Williams Street,97,44.480754,-73.203485
2025,October,2,805827,Pearl Street at N. Willard Street,41,44.480709,-73.205423
2025,October,2,805828,Pearl Street at Greene Street,51,44.480637,-73.207642
2025,October,2,805829,Pearl Street at N Union Street,41,44.480617,-73.209172
2025,October,2,805886,Pearl Street at Hillcrest Road,58,44.49273,-73.116386
2025,October,2,805954,Pearl Street at N Winooski Avenue,3115,44.48046,-73.21053
2025,October,2,805957,Global Foundries,54,44.4786702168911,-73.1009221958775
2025,October,2,806001,Colchester Avenue at VAS Clinic,481,44.480738,-73.197324
2025,October,2,806013,College Parkway at Camp Johnson,177,44.49880348515874,-73.1559835326247
